date,problem,detail,what_i_did
2016-07-10,missing day,no row published for this date,"left as a gap, not interpolated"
2016-11-01,missing day,no row published for this date,"left as a gap, not interpolated"
2016-11-15,missing day,no row published for this date,"left as a gap, not interpolated"
2016-11-23,missing day,no row published for this date,"left as a gap, not interpolated"
2016-12-15,missing day,no row published for this date,"left as a gap, not interpolated"
2017-01-01,missing day,no row published for this date,"left as a gap, not interpolated"
2017-01-08,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-06,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-11,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-12,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-13,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-14,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-15,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-16,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-17,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-18,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-19,missing day,no row published for this date,"left as a gap, not interpolated"
2017-02-28,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-02,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-15,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-17,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-18,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-19,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-20,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-21,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-22,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-23,missing day,no row published for this date,"left as a gap, not interpolated"
2017-03-29,missing day,no row published for this date,"left as a gap, not interpolated"
2017-04-15,missing day,no row published for this date,"left as a gap, not interpolated"
2017-05-21,missing day,no row published for this date,"left as a gap, not interpolated"
2017-06-16,missing day,no row published for this date,"left as a gap, not interpolated"
2017-07-05,missing day,no row published for this date,"left as a gap, not interpolated"
2017-11-28,missing day,no row published for this date,"left as a gap, not interpolated"
2017-11-29,missing day,no row published for this date,"left as a gap, not interpolated"
2018-08-18,missing day,no row published for this date,"left as a gap, not interpolated"
2018-08-19,missing day,no row published for this date,"left as a gap, not interpolated"
2018-08-20,missing day,no row published for this date,"left as a gap, not interpolated"
2018-08-21,missing day,no row published for this date,"left as a gap, not interpolated"
2018-08-22,missing day,no row published for this date,"left as a gap, not interpolated"
2018-11-26,missing day,no row published for this date,"left as a gap, not interpolated"
2019-02-26,missing day,no row published for this date,"left as a gap, not interpolated"
2019-06-10,missing day,no row published for this date,"left as a gap, not interpolated"
